"country","y","x1","x2","x3","x4","x21","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20"
"Lithuania",6.575,4.76,1.085,0.92,0.88,75.6767,16.56925011,13.29162661,33963.01256,1.02,0.794,9.772727273,4.292464733,3.88094,20.12206,0.128,8,11.603,94.71080017,0.691,21.47727273,38.38
"Luxembourg",16.959,15.737,0.921,1.326,0.922,81.8035,14.31532001,12.82510172,81398.52451,0.989,0.832,9.761388286,3.775586605,6.29069,18.68508,0.074,5,4.466,100,0.635,31.12798265,42.21
"Madagascar",1.078,0.142,0.606,0.424,0.507,65.2697,10.17391968,5.073239803,1548.073162,0.954,0.368,27.41617357,25.31720161,29.34582,27.557,0.552,335,125.276,27.19927025,0.503,0.788954635,1.53
"Malawi",0.566,0.085,0.215,0.441,0.51,63.2758,12.4431407,4.396741029,1463.544391,0.966,0.369,27.64705882,21.67478561,28.42429,32.4,0.574,349,123.64,20.37473751,0.506,0.784313725,1.6
"Mali",2.122,0.184,1.114,0.9,0.43,59.3934,7.442024549,2.2,2217.611028,0.82,0.289,32.79069767,35.15585709,43.85965,16.56372,0.675,562,156.631,6.047999859,0.42,2.325581395,4.59
"Malta",4.15,3.147,0.448,2.48,0.91,83.3448,16.58428001,11.84057999,40070.42113,0.978,0.839,7.802197802,4.573385715,6.18818,12.58503,0.184,6,12.223,78.70787811,0.722,20.65934066,38.82
"Mexico",5.276,3.832,1.114,1.093,0.777,74.0146,14.8653698,8.933190346,19385.89225,0.963,0.635,18.27541828,10.08201408,13.48795481,29.798888,0.323,33,61.293,62.29301834,0.717,7.722007722,10.89
"Mongolia",16.637,14.322,5.572,1.712,0.743,71.1992,14.93639851,9.547314262,10960.06887,1.027,0.645,13.1897712,10.4971838,11.88363,16.94628,0.329,45,32.637,80.46524963,0.623,16.15074024,11.15
"Morocco",2.416,1.754,0.333,0.805,0.676,73.9863,13.72161961,5.782,7301.739349,0.853,0.497,26.47928994,12.00520515,41.87093,22.50352,0.435,70,27.546,29.94,0.646,4.437869822,6.95
"Mozambique",1.228,0.241,0.99,2.434,0.451,60.5261,10.09584184,3.130214992,1265.815831,0.917,0.301,33.2594235,30.28216743,40.5314308,28.39454,0.543,289,170.999,10.71500012,0.446,1.10864745,2.18
"Namibia",4.826,1.727,1.762,0.982,0.636,62.5859,11.89964286,7.140568261,9704.240117,1.013,0.412,35.22012579,21.70319366,25.01567,53.58558,0.442,195,68.184,40.92553506,0.592,6.918238994,12.24
"Nepal",1.601,0.52,0.822,0.615,0.601,68.9786,12.95372534,4.965326529,3798.135482,0.946,0.447,25.62396007,16.97784615,40.881,16.31632,0.457,186,67.469,27.36086768,0.584,2.828618968,5.3
"Netherlands",10.255,9.177,0.898,1.206,0.939,81.7741,18.5599308,12.32301044,56614.38413,0.952,0.874,6.922257721,3.373560667,5.3671,11.79038,0.027,5,2.611,89.01696014,0.731,22.15122471,33.03
"New Zealand",16.908,7.379,6.76,1.506,0.936,82.3803,18.87854958,13.13976479,41382.39849,0.974,0.864,7.692307692,4.083879948,1.840131778,16.44939836,0.102,9,13.323,80.54278854,0.751,19.76495726,30.64
"Nicaragua",2.78,0.791,1.407,0.934,0.662,73.8497,12.43261063,7.028,5452.437413,0.957,0.51,22.96072508,10.91456127,25.79903661,30.693801,0.431,98,89.65,50.24,0.641,3.172205438,5.65
"Niger",1.808,0.079,1.156,0.484,0.399,62.4544,6.67627276,2.038633011,1257.082178,0.829,0.287,28.07017544,30.92690468,34.96483,16.43389921,0.635,509,177.961,8.520800273,0.391,2.005012531,4.14
"Nigeria",1.51,0.53,0.677,0.457,0.531,52.5536,9.937831,6.958530903,4928.925873,0.86,0.335,36.91148776,41.48026657,40.41507,28.05169,0.67,917,103.466,38.45909119,0.52,2.071563089,3.53
"North Macedonia",4.902,3.327,1.154,1.061,0.779,77.3142,13.50732994,9.883215904,15457.19391,0.941,0.694,10.9114249,4.594536304,8.36817,19.15726,0.141,7,16.03,59.48669137,0.713,8.472400513,13
"Norway",8.943,8.357,0.868,1.224,0.962,82.7605,18.12005043,12.97539473,68999.19641,0.99,0.907,5.717255717,2.749960423,2.3324,11.53728,0.018,2,2.606,99.11645508,0.739,23.18087318,36.73
"Oman",21.629,15.769,4.388,2.21,0.834,77.9659,14.1161499,10.81124439,30631.78608,0.922,0.724,13.18944844,6.954676151,11.94880067,20.08885691,0.328,19,14.11,87.34818115,0.677,18.82494005,20.76
"Pakistan",1.919,0.933,0.718,0.802,0.545,66.482,8.275939941,4.825690031,4657.880392,0.767,0.378,30.64220183,28.76150513,43.52795,17.23416,0.542,140,44.908,15.74960041,0.532,2.385321101,3.54
"Panama",4.201,2.585,1.188,1.509,0.814,77.8629,13.0069239,10.4001236,28869.22802,1.007,0.647,20.51597052,11.43046379,11.37222672,36.116696,0.412,52,74.96,69.36588923,0.744,8.5995086,14.53
